cleaned_text,Sarcastic
"i hope youre lurking rn. i want to listen to hallucination & wanna love you again live someday, pretty please?! 😭 😭 😭",0
100 days until Christmas! 🌲 soon ready yet,0
"i have never laughed so much in an interview 😂 H : His face says "" shit i've got chlamydia """,0
she just made my damn night 😂 😂 😂 😂 😂 😂 😂 Here I am eating my husband like its so damn normal,0
thirteen ghosts is the fucking shit 😍 😍 😍,0
3 fucken days till I go back to California. Lord don't let me do some dumb shit. I wish to go home where I can be happy with my mom 😩,0
3 more days and I will be reunited with my best friend and my family! ✊ 😁 😍 😘🍗🌽🍴,0
Happy birthday to you brother! Hope your having a blessed day & continue pursuing that dream. I believe in you Peace ✨💫,0
"do you guys remember 5quad becoming so popular from digi nyc to the previous digi, how they didn't meet EVERYONE 😭",0
"6 months ago I lost my baby boy, the most precious thing in my life was stolen from me 😭",0
6th hour is so boring 😴,0
I love the freebies and my kids like 'em too. They're fun for the whole family! ☺,0
99 % sure the wind is going to blow my house over today 🌪,0
thank you ☺️ and aww it was great seeing your pretty face! We should get together soon!,0
customers fault for trusting banks and computers never trust anybody especially not technology ☺,0
& a big thank you to whoever sent that one in about me being a bitch 😂 really made my day,0
about last night 😩 😜😈,0
About my mom always yelling at him 😂 😂 😂,0
"Absolutely gutted I missed 's baby shower! But so glad you had a good time, you looked so beautiful and I can't wait to meet him 😩 ❤️ 👶",0
"Absolutely love coming home to my gorgeous boyfriend after work.. Flat is spotless, comfies all laid out for me & lots of cuddles - perfect 😍",0
absolutely when I get home 😊,0
Aca -awesome! Congrats to the talented ladies of on winning Top Soundtrack! 🎤,0
I have spent a great time reading your message Thanks and a good night! ❤️ ❤️ ⚓️,0
Act like you lovee mee.. Lay heree and stay to make Amazingg showww for us ! I'm so freaking to love u ❤,0
actually going to wear sweat pants to school for the first time this year... 😂,0
Actually really excited for this football game tonight 🏈,0
thanks bud stay safe in France 😘,0
BUT I HAVE TO DO MY HOME WORK 😭 😭 😭,0
I love you and your hair and makeup are an absolute sensation but that dress essentially looks like the Von Trapp family curtains! 😷,0
"your tickets R impossible to get. Can this fan and her 3 sisters get them for the Atlanta show please, please 😍",0
on the bright side we can hang out in the summer 😊,0
no 😩 I gotta n some homework to finish before I go,0
happy birthday killa 😈hope u have an amazin day ☺️turn up,0
"After a dramatic entrance 7 weeks early! and 3 weeks in hospital, Today we take Hartley Jenkins home! Let's do this thing 👪",0
"After a shitty day at work, I cant wait to let go and be happy tonight. On a broken toe im raving with tonight 😍 😍 😍 😍😀😀😀😀",0
After I finish these last 9 questions of my stats homework... We'll see how many hours it took me for 6 assignments 😅,0
"After stalking 's Instagram (not creepy at all ), I've finally figured out how to draw the perfect liquid line 😍",0
A good example of bad parenting lol freaking why is my nephew watching spongebob 😭 😂,0
AHHHH YAY YAY YAY THIS MAKES ME SO HAPPY. 😭 😭 😭 😭,0
Ah I wonder Wtf is wrong with my butt today. Itchy.. 😉😉😏😏,0
Ah 😍 why are you so gorgeous!? 😍 have a great day Amanda 😁,0
"YAY NINA! Now I'm even more excited haha, can't wait to finally meet the queen of Toby's 😂 awgumonnnn",0
ain't get the 7's 😒 but I got these tuff ass Trues so I'm satisfied,0
I REALLY ENJOYED IT IM IN HERE STILL SCREAMING EVERYTIME YOU SING IM BLESSED YOU GUYS DID A AWESOME JOB... EVERYDAY.. JESUS 🌞,0
"Aka my pops birthday, he's getting up there. I love my old man 😛 😘",0
"I really hope you're having and amazing day, almost as amazing as you! ❤️",0
"I want you to be successful but I'm jealous about other ppl meeting you, how's that possible? 😭 😂 😍 ❤ ❤",0
"I love you bitch. 😘 glad we finally did dinner, many more to come",0
"Alfie, I'm so glad people like you exist 😌 I love you so much",0
All cold fruits are yummy 😁,0
and I lost our snap streak and I'm heartbroken 😭,0
I love you Celeste thank you 😁 😍 😘 ❤ ❤ ❤ ❤ ❤ ❤,0
Good Afternoon my dear friend ♥️,0
All about that 😊 have an amazin ' day fam,0
"All I wanna be is wrapped in your arms, laying in the dark, looking at stars "" 🌟🌌",0
All my classes today got cancelled yay 😄😃😀,0
All my snaps got deleted 😭 stupid android,0
"All of the people who tell me I don't need to be stressed, stress me out the most 📖",0
All of these amazing fruits in our yummy capsules 🍇🍓 PM me for more info 😘💌,0
"all over the world, black people LOVE dancing 😂 😂 😂",0
All packed for Kansas now to finish homework before tomorrow 😲,0
"all the block parties in there are shit, everyone in there is shit 😂 😂 😂",0
All these great positive things been happening for me and i havent enjoyed cuz i swore i needed you to be happy 😂,0
All these people can't wait for highschool to be over but tbh life just gets more stressful and hard after you graduate 😑,0
All these people that are shocked its cold... do u really need me to explain the word WINTER? 😒,0
thank you so much for an incredible night i'll never forget ❤️ ❤️ i love you guys so much,0
all y'all some bandwagon hoes if u asked me. ☺️ 😊,0
A loss has been well overdue. We've been riding our luck from the start of the season. Poor performance! Well played Dortmund. happy 😡,0
"A lot of great things happening today. Fucking migraine, why are you ruining them?!? 😢 Shower then rest. Dammit! irritated",0
A lot of things pissing off today 😂,0
A lot to love in New York 😉 Thanks so much for sharing! Hope your weekend's going great and hope you get to return soon!,0
"A lovely lady just came up to my Mum in Costa and told her she was very attractive, really pretty + looked far too young to be a Grandma ❤️",0
Already feel really sick today and the smell of raw sewage at this time is not helping 😷,0
Already have 8 tattoos planned out 😛,0
Already looking forward to the nap I'll be taking when I get home 😴,0
Also massive massive MASSIVE banter off Grayson taking our best player/leading goalscorer off for will Keane and playing him left wing 😂 😂 😂 😂 😂,0
Always good seeing an old friend! 😁,0
Always happen when a girl tought that she never be a good enough for her boy 😩,0
Always Missing You Ma Love 😭,0
Always speak the truth ♥☀♥,0
Amazing day to be a Ray! Great start to the season for the and only gets better from here! 💙🍭,0
"Stay safe btw! Also make sure to bring extra cookies, just in case. ❄️",0
I've just ordered more though as my hair is naturally SO thick! Haha although I'm not sure the braid could get any bigger 😝,0
happy birthdayyyy mil have an amazin day xxxx see ya on the 4th 😝 😘,0
Amen! Nutella will forever be my weakness 😍 😍 😍,0
America built Classism... it's basically segregation by currency. Lol shit yall so lost & blind 😂 😂 😂 😂 😂 😂,0
AWWWW 😭 😭 😭 😭 MEESHA THIS MADE MY DAY. ILYSM! THIS REALLY MEANS A LOT TO ME.,0
AM practice & then another practice 😐,0
and can my surgeon appointment come faster ffs 😒,0
And don't write me no love letters either! 😂 😂 😂,0
there will be times where I don't give a fuck and I shower barefoot in my fraternity. People say I'm an animal for doing so 😂,0
The music I used is royalty free and you guys are free to use it! 😁,0
andrew took the day off and we spent a grand total of 75 minutes together 😊 😊 😊 I love my life,0
And send him soapy shower nudes so he'll leave work early and give you all his attention 😂,0
"And started smiling, it seriously really made her day so much better I could tell and that's what made me really happy ; that I could do that 😊",0
AND THATS A WRAP! Can't wait for everyone to see this emotional video! 😭 😜,0
And what I was thinking while watching is that how can you look pretty all the time? 😉😉,0
ugh yeah you're right 😑 but whatever i'm not getting my happy mood ruined by someone who's pressed ✌,0
"why the personal attacks? There is no love without forgiveness, and there is no forgiveness without love. We are one 👪",0
lol I guess you're right 😂,0
shame on u come by today and smoke this weed 😐,0
I'll take a picture so you know its real 😂,0
"We'll give our best to give you some competition.. 😜😉 Damn, I hope you see it 🍀 😅",0
A nigga did not charge his phone... Or bring my charger... 😑,0
"A night before a game is like Xmas Eve. You know the earlier you go to bed, the faster morning will come but ur too excited to sleep 🏈",0
i KNOW with all my heart he is SUPER ULTRA BUSY.. That's all.. Great for us! LOTS of Miles on YR SOON 😙 😙,0
you know have a cute ass sneeze I love it lol it's like beyond cute ❤ ❤,0
LOOK!!!! My mom woke me up by giving me this! YOU'RE IN THE FRENCH NEWS PAPER!😍😍,0
thank you for supporting the cause. I lost my younger brother to cancer 6 years ago. Your support means the world to me💖,0
you r pretty face 😂 😉,0
thank you you're such a good friend 💙,0
that was too funny lol so funny ☺☺☺,0
braid your hair at night like I do 😊,0
Ant Loves Bringing Up Old Shit. 😂,0
Any bitch before me 🚮 Any bitch after me 🚮 Any bitch you texting 🚮 Any bitch at all 🚮,0
Anybody wanna do my home work 📝,0
Anyone wanna do my home work for me 😂 😅,0
I like OMG OMG OMG OMG I KNEW IT! And my mom was asleep 😴 So by that time she was yelling like everything on earth! XD,0
apologies her like how ritu apologised manisha and you'll be fine 😝,0
Apparently I keep waking up when my alarm goes off and then falling back asleep but I don't remember. I've missed two weeks of this class. 😒,0
": Best way to watch 4th Impact awesome, sassy, fierce, girl power performances = use REPLAY button. 😉 😍✨",0
APPRECIATE LIFE because each day you live is a blessing. 😀,0
"I realized i didn't have enough room for the voting hashtag, but can you please rt this? ❤️",0
Are my secret love ✨ One Direction -⚡,0
are you lovable person? — Yas 😁,0
"Bby you are beautiful in every way! I'll always support you, keep singing and make the world shines 😘 i love u.",0
"whenever I'm worried, I sing be alright in my head, an I feel 1000x better, thank you for that. I love you. ❤️",0
aw so sweet naman this gurl 😘 hehe love u too,0
Thanks For Following Want Fries are free 🍟 I invite 😉,0
"As a child I did childish things but as a woman I learned to put childish this aside "" who I'm foolin I'm still going to be petty 😂 😂 😂",0
"As a 🐏 Tar Heel fan, I'm bout to be a bandwagon fan. "" I rock Kentucky blue on these Hoes! "" -Drake Let's go Wildcats 💙. I hate Duke!",0
shit i was hoping nobody saw that 😂,0
"sorry I don't sleep with people who are in relationships, unless it's a threeway, but I'll let you braid my hair though 😘",0
oh my lord I can't wait to babysit this cutie 😍 😍,0
"asian appreciation post 👲 also bc you're beautiful and the love of my life and my sunshine, pretty much so ☀️",0
asked my friend if she wanted to go out & she said nah because she ran out of eyebrow pencil. I laughed so hard I teared 😂,0
I just picked up Kamicks at Stride Rite outlet! They seems great ; we love their rain boots so trying ❄️.,0
"Assignment due in 12 hrs, havent started yet 😓",0
As is in I've had a chippy tea tonight 😋,0
A study by Cambridge (and Spotify ) said one of 20 songs to start a great day is Can't Sleep Love. WHAT DO U THINK ABOUT?! 😍 I do believe it,0
A successful Neighbourhood watch meeting last night with the . All essential topics on agenda covered. 🚽🚽,0
A successful professional meeting today 󾌧 = --- another successful day 󾮟; loving life ☺️!,0
shit I was hoping nobody would catch that 😂 😂,0
Ate a pot of 🍝 all by myself no shame,0
"Ate such a bomb breakfast today, it's lunch time & I'm still not hungry 😒 sheeeshh",0
ATI always wanna start fucking up when I'm tryna take my post test 😡,0
At least has things under control on this bus. 😂 😂 😂,0
"Atleast you weren't on national tv being a dumb bitch "" 😂 😂 😂 thanks ci",0
At tonight. My favourites are the Euro Nascars - the noise they create makes my eyes water with absolute joy ❤️ 🚗,0
Attempted to braid Zack's hair 😂,0
"Aubrey & I text 24/7 but it's never an actual conversation, just random things or a play by play of what we're doing 😂",0
anytime babes 😘 and that is true I am great had a bad relationship but I'm now loving life xx,0
"You're amazing! So beautiful, kind, smart & funny. 5SOS love and care about you sooo much ❤️ - Court",0
just retweeting bc I always give RT on all ur things. Tysm for following me almost 5 months ago 💛,0
"what's the most important thing in your life? like respect, family, friends etc ( love youuu ❤️ )",0
wish me luck on my exam results?.. pls... i love you austin😘,0
avenuesofinspiration : Late Nights & Early Mornings | JS © | Model | AOI,0
and we're all waiting for your next big album 😙 😙💞💞,0
"We want a sign, we feel homesick! give us a date or other thing related to your new album ❤️ we love you.",0
Awe put my face on his shirt for our photo shoot ✌️,0
Awesome! Already listening to it via the app on my phone. Perfect before the gym after work 😁,0
Awesome dear 😍 😍 😍 😍 😍,0
Awesome thanks for helping make the Word so so real to us commoners haha ✨,0
AWESOME SAUCE! 😁 😁 😁,0
aw I love seeing women happy w they bae ❤️,0
